"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1975921";"";"None";"214.02";"0";"1.01";"SID103904867";"O=c1[nH]c2cc(Br)cnc2[nH]1";"Ki";"'='";"79432.82";"nM";"4.10";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1971289";"";"None";"264.31";"0";"1.93";"SID103905207";"CCOc1ccc(C=C2SC(=N)NC2=O)c(O)c1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1986756";"";"None";"360.34";"0";"4.86";"SID103904878";"CCc1ccc2c(NC(=O)Nc3cccc(C(F)(F)F)n3)ccnc2c1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1977749";"";"None";"277.32";"0";"4.12";"SID103905602";"C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12";"Ki";"'='";"2511.89";"nM";"5.60";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1987535";"";"None";"352.46";"0";"3.67";"SID103904682";"O=C(NCCc1cccs1)N1CC=C(c2c[nH]c3ncccc23)CC1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL278041";"SB-202190";"None";"331.35";"0";"4.65";"SID103905584";"Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1984500";"";"None";"212.05";"0";"1.69";"SID103904577";"O=C1NCc2c(Br)cccc21";"Ki";"'>'";"63095.73";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL482767";"SNS-314";"1.0";"430.95";"1";"5.10";"SID103905586";"O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL1989043";"";"None";"462.41";"0";"4.76";"SID103904413";"CN1CCN(c2ccc(Nc3nc(N)c(C(=O)c4c(Cl)cccc4Cl)s3)cc2)CC1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
"CHEMBL2000832";"";"None";"483.50";"1";"5.45";"SID103904711";"COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCc4cccc(F)c4)cc2NC3=O)ccc1O";"Ki";"'='";"630.96";"nM";"6.20";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963698";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TBK1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
