"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1358284";"";"None";"428.66";"1";"8.31";"17";"CCCCCCCCCCCCCCCCCCc1ccc(C(=O)/C=C/C(=O)O)cc1";"Ki";"'='";"4600.0";"nM";"5.34";"";"";"UO_0000065";"12.45";"0.24";"-2.97";"9.82";"0";"CHEMBL5160673";"Inhibition of recombinant ATG4B (unknown origin) expressed in Escherichia coli BL21(DE3) pLysS cells assessed as inhibition constant using LC3-GST as substrate incubated for 3 hrs by coomassie brilliant blue staining based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1741221";"Cysteine protease ATG4B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154778";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 3.0 hr";"INHIBITOR";""
"CHEMBL5200146";"";"None";"330.47";"1";"5.58";"21f";"CCCCCCCCCCCc1ccc(C(=O)/C=C/C(=O)O)cc1";"Ki";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"16.67";"0.31";"-0.07";"10.13";"0";"CHEMBL5160673";"Inhibition of recombinant ATG4B (unknown origin) expressed in Escherichia coli BL21(DE3) pLysS cells assessed as inhibition constant using LC3-GST as substrate incubated for 3 hrs by coomassie brilliant blue staining based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1741221";"Cysteine protease ATG4B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5154778";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 3.0 hr";"INHIBITOR";""
